Reviewer Name,Review Date,Review Content
sharifahshahira,13/9/2023 17:04,Beli masa sale 9.9 Rm140. Advice untuk kaki yang 24.5cm better beli 24.5cm jngn beli besar memang nmpak macam kapal kat kaki. Saya beli 25 sbb 24.5 takde. Kalau beli 24 takot kecil. So nk beli kasut kene tahu size kaki dahulu.
jeffisjef,18/1/2024 19:11,Not 100% satisfied. I don’t know if it happened before shipping or when it got shipped but I wouldn’t suggest J&T for delivery.
g*****s,9/1/2024 12:14,Comfortable and lightweight. Bought this for running and training 😊
davidsimon1996,30/11/2023 23:45,"Bad customer service, shoe was ok tho"
fendileman90,16/12/2023 17:45,Cun …saiz betul..
farrabi,3/6/2022 12:16,
kadokkings,23/1/2024 11:53,cemerlang ...
m*****h,3/1/2024 20:03,Kasut cantik🫰🏻
hanissyafiq29,3/1/2024 14:24,Cunn..fit to my foot..👍👍
d*****2,14/11/2023 16:14,Good
lylian00,22/7/2022 16:35,Fast delivery
c*****3,30/11/2023 19:24,
razali3480,23/7/2023 15:58,Tq..
cindyubar98,20/9/2022 14:25,
wixbio0nhu,18/1/2024 12:02,
chrisleong96,13/9/2022 18:45,
m*****n,2/2/2024 11:28,Sangat cantik ye guys. Usually my feet would look big kalau pakai sneakers bcs of my bunions but this kasut makes it looks like as if i have a small feet and i love it so much! Kalau ada bunions recommended sangat beli kasut ni!
zarrhea,29/1/2024 14:33,Dah pakai g zumba. Suka sgt sebab cntik & selesa. Bole oder lagi nanti
zulfikre89,16/7/2023 10:32,Silap sendiri.. Tengok dekat gambar je tak baca betol² description.. Ingatkan fully gold.. Rupa rose-gold.. 😅
mrirsyad81,22/1/2024 10:48,Kasut Puma telah selamat sampai ke destinasi...ringan sangat...boleh lari laju...saiz ngam
f*****8,19/1/2024 18:42,"Fast shipping
True size
Blh oanai utk running
Murah
Tq seller
👍👍👍"
rosiah86,27/12/2023 16:55,Kasut cantik…ringan..penghantaran pun pantas..tq seller saya beli☺️☺️
misz_cadbury,4/10/2022 16:28,The item received in good condition even though the box is in a very bad shape. Hopefully the delivery will do better next time. The item also arrived just in time as estimated.
malaihambia,19/12/2023 16:29,Everything is Good thanks 👍
yusof___,6/2/2024 14:42,
maslindajaaffar,9/1/2024 13:04,Terbaikkk
zecktree,17/1/2024 17:04,"Kualiti bagus,"
hashimaziz,23/9/2023 16:47,"Good brand, good quality"
n*****m,26/10/2023 19:13,Fast delivery
faliq87,6/1/2024 11:00,Kasut sedap..selesa
zila_gee_,19/1/2024 9:28,Terbaik
